142,11968,Pa-75015,Park,JARDIN DES ENFANTS DU VELODROME D'HIVER,Vaugirard,75015
143,11971,Pa-75008,Park,JARDIN TERESKA TORRES-LEVIN,Elysee,75008
144,11978,Pa-75016,Park,PROMENADE PLANTEE DODE DE LA BRUNERIE,Passy,75016
145,11984,Pa-75014,Park,JARDIN DE LA PLACE GILBERT PERROY,Observatoire,75014
146,11985,Pa-75003,Park,JARDIN ARNAUD BELTRAME,Temple,75003
147,11th_75003_384,pl-75003,playground,11th arrondissement,Temple,75003
148,12,Pa-75003,Park,JARDIN DE L'HOTEL SALE - LEONOR FINI,Temple,75003
149,120,Pa-75010,Park,SQUARE SAINT-LAURENT,Enclos saint laurent,75010
150,12185,Pa-75002,Park,JARDIN DE LA BIBLIOTHEQUE NATIONALE DE FRANCE,Bourse,75002
151,122,Pa-75010,Park,SQUARE ALBAN SATRAGNE,Enclos saint laurent,75010
152,123,Pa-75010,Park,JARDIN VILLEMIN- MASHA JINA AMINI,Enclos saint laurent,75010
153,12345678,Pa-75020,Park,SQUARE LOUIS LUMIERE,Menilmontant,75020
154,124,Pa-75010,Park,SQUARE MADELEINE TRIBOLATI,Enclos saint laurent,75010
155,125,Pa-75010,Park,SQUARE AMADOU HAMPATE BA,Enclos saint laurent,75010
156,126,Pa-75010,Park,SQUARE DES MAURES,Enclos saint laurent,75010
157,12960,Pa-75007,Park,JARDIN DE L INSTITUT NATIONAL DES JEUNES AVEUGLES,Palais-Bourbon,75007
158,12th_75004_479,pl-75004,playground,12th arrondissement,Hotel de ville,75004
159,13,Pa-75003,Park,SQUARE SAINT-GILLES - GRAND VENEUR - PAULINE ROLAND,Temple,75003
160,13'I_75013_1383,pa-75013,park,13'Infuz - Les tisanes de la Petite Ceinture,Gobelins,75013
161,13097,Ev-75001,Event,Créa Fun,Louvre,75001
162,131,Pa-75011,Park,SQUARE MAURICE GARDETTE,Popincourt,75011
163,134,Pa-75011,Park,SQUARE DOMINIQUE BERNARD,Popincourt,75011
164,13588,Ev-75001,Event,Mercredi Jeux Vidéo,Louvre,75001
165,136,Pa-75011,Park,SQUARE DE LA ROQUETTE,Popincourt,75011
166,137,Pa-75011,Park,SQUARE RAOUL NORDLING,Popincourt,75011
167,137_75019_2351,pl-75019,playground,137 Avenue Jean Jaures,Buttes-Chaumont,75019
168,139,Pa-75011,Park,SQUARE DE LA FOLIE-REGNAULT,Popincourt,75011
169,13979,Ev-75001,Event,"Cycle \Bien sur Internet\"" pour Seniors avec Kocoya""",Louvre,75001
170,13th_75005_587,pl-75005,playground,13th arrondissement,Pantheon,75005
171,140,Pa-75011,Park,SQUARE JEAN ALLEMANE,Popincourt,75011
172,141,Pa-75011,Park,SQUARE GEORGES SARRE,Popincourt,75011
173,142,Pa-75011,Park,SQUARE DE LA PLACE PASDELOUP,Popincourt,75011
174,14223,Ev-75008,Event,Les 4 Saisons de Vivaldi Intégrale & Petite Musique de Nuit de Mozart,Elysee,75008
175,143,Pa-75011,Park,SQUARE DES MOINES DE TIBHIRINE,Popincourt,75011
176,145,Pa-75011,Park,SQUARE COLBERT,Popincourt,75011
177,148,Pa-75011,Park,SQUARE PIERRE JOSEPH REDOUTE,Popincourt,75011
178,149,Pa-75011,Park,SQUARE DES JARDINIERS,Popincourt,75011
179,150,Pa-75011,Park,JARDIN EMILE GALLE,Popincourt,75011
180,151,Pa-75011,Park,SQUARE LOUIS MAJORELLE,Popincourt,75011
181,155,Pa-75011,Park,JARDIN DAMIA,Popincourt,75011
182,156,Pa-75011,Park,SQUARE MARCEL RAJMAN,Popincourt,75011
183,157,Pa-75011,Park,SQUARE FRANCIS LEMARQUE,Popincourt,75011
184,158,Pa-75011,Park,SQUARE EDMEE CHANDON,Popincourt,75011
185,15th_75006_680,pl-75006,playground,15th arrondissement,Luxembourg,75006
186,16047,Ev-75001,Event,Les p'tits fauteuils au Théâtre du Châtelet,Louvre,75001
187,16049,Ev-75007,Event,Musiques et M'Omes à Orsay,Palais-Bourbon,75007
188,165,Pa-75012,Park,JARDIN DE MARIANNE,Reuilly,75012
189,166,Pa-75012,Park,SQUARE EUGENE THOMAS,Reuilly,75012
190,167,Pa-75012,Park,SQUARE TROUSSEAU,Reuilly,75012
191,168,Pa-75012,Park,SQUARE COURTELINE,Reuilly,75012
192,169,Pa-75012,Park,SQUARE ALBERT TOURNAIRE,Reuilly,75012
193,16th_75007_800,pl-75007,playground,16th arrondissement,Palais-Bourbon,75007
194,170,Pa-75012,Park,SQUARE GEORGES MELIES,Reuilly,75012
195,171,Pa-75012,Park,SQUARE EMILE COHL,Reuilly,75012
196,173,Pa-75012,Park,SQUARE SAINT-ELOI,Reuilly,75012
197,174,Pa-75012,Park,JARDIN ILAN HALIMI (ANC. RUE DE FECAMP - MICHEL BIZOT),Reuilly,75012
198,175,Pa-75012,Park,SQUARE FREDERIC ROSSIF,Reuilly,75012
199,176,Pa-75012,Park,JARDIN DU PORT DE L'ARSENAL,Reuilly,75012
200,179,Pa-75012,Park,JARDIN MARY CASSAT,Reuilly,75012
201,17th_75008_912,pl-75008,playground,17th arrondissement,Elysee,75008
202,18,Pa-75004,Park,SQUARE JEAN XXIII,Hotel de ville,75004
203,180,Pa-75012,Park,SQUARE CHARLES PEGUY,Reuilly,75012
204,182,Pa-75012,Park,JARDIN DE REUILLY - PAUL PERNIN,Reuilly,75012
205,186,Pa-75012,Park,JARDIN DE LA GARE DE REUILLY - JULIEN LAUPRETRE,Reuilly,75012
206,187,Pa-75012,Park,JARDIN CHARLOTTE VALANDREY,Reuilly,75012
207,18th_75009_985,pl-75009,playground,18th arrondissement,Opera,75009
208,19,Pa-75004,Park,SQUARE DE LA TOUR SAINT-JACQUES,Hotel de ville,75004
209,190,Pa-75012,Park,SQUARE PHILIPPE FARINE,Reuilly,75012
210,192,Pa-75012,Park,SQUARE DES COMBATTANTS D'INDOCHINE,Reuilly,75012
211,195,Pa-75012,Park,JARDIN SOLANGE FALADE,Reuilly,75012
212,19842,Ev-75003,Event,Les Samedis en Famille · Crèche Rambuteau,Temple,75003
213,19844,Ev-75005,Event,Les Samedis en Famille · Crèche des Prêtres Saint-Séverin,Pantheon,75005
214,19846,Ev-75011,Event,Les Samedis en Famille · Crèche de la Folie Régnault,Popincourt,75011
215,19847,Ev-75012,Event,Les Samedis en Famille · Crèche Villiot,Reuilly,75012
216,19848,Ev-75014,Event,Les Samedis en Famille · Crèche Cabanis,Observatoire,75014
217,19th_75019_2322,pl-75019,playground,19th arrondissement,Buttes-Chaumont,75019
218,1KP_75003_305,re-75003,restaurant,1K Paris,Temple,75003
219,2,Pa-75001,Park,SQUARE DU VERT GALANT,Louvre,75001
220,20,Pa-75004,Park,SQUARE LOUIS XIII,Hotel de ville,75004
221,20167,Ev-75015,Event,Mélomanes en culottes courtes,Vaugirard,75015
222,20E_75007_2860,Re-75007,Restaurant,20 Eiffel,Palais-Bourbon,75007
223,20th_75020_2462,pl-75020,playground,20th arrondissement of Paris,Menilmontant,75020
224,21,Pa-75004,Park,JARDIN DE LA PLACE JEAN-PAUL II,Hotel de ville,75004
225,21693,Ev-75004,Event,Venez découvrir Paris depuis le haut de la tour Saint-Jacques !,Hotel de ville,75004
226,219,Pa-75013,Park,JARDIN FRANCOISE GIROUD,Gobelins,75013
227,22,Pa-75004,Park,SQUARE HENRI GALLI,Hotel de ville,75004
228,220,Pa-75013,Park,SQUARE MARIE CURIE,Gobelins,75013
229,221,Pa-75013,Park,SQUARE FLORENCE BLUMENTHAL,Gobelins,75013
230,22138,Ev-75019,Event,Wéké et la boîte à musique enchantée au théâtre Darius Milhaud,Buttes-Chaumont,75019
231,222,Pa-75013,Park,SQUARE DE LA PLACE DE L'ABBE GEORGES HENOCQUE,Gobelins,75013
232,223,Pa-75013,Park,SQUARE HELENE BOUCHER,Gobelins,75013
233,224,Pa-75013,Park,SQUARE ROBERT BAJAC,Gobelins,75013
234,226,Pa-75013,Park,SQUARE RENE LE GALL,Gobelins,75013
235,227,Pa-75013,Park,SQUARE PAUL GRIMAULT,Gobelins,75013
236,23,Pa-75004,Park,SQUARE DE L'ILE DE FRANCE,Hotel de ville,75004
237,230,Pa-75013,Park,SQUARE CLARA ZETKIN,Gobelins,75013
238,232,Pa-75013,Park,JARDIN DES DEUX MOULINS,Gobelins,75013
239,233,Pa-75013,Park,SQUARE DE L'AVENUE CAFFIERI,Gobelins,75013
240,23322,Ev-75006,Event,"Les 4 Saisons de Vivaldi, Ave Maria et Célèbres Adagios",Luxembourg,75006
241,23336,Ev-75008,Event,Concert commémoratif des funérailles de Chopin à la Madeleine 1849,Elysee,75008
242,23349,Ev-75008,Event,Grand concert de chants traditionnels de Noël,Elysee,75008
243,234,Pa-75013,Park,SQUARE DE LA RAFFINERIE SAY,Gobelins,75013
244,23486,Ev-75010,Event,Mercredis ludiques et numériques,Enclos saint laurent,75010
245,235,Pa-75013,Park,JARDIN BRASSAI,Gobelins,75013
246,23513,Ev-75010,Event,Culture club,Enclos saint laurent,75010
247,23517,Ev-75010,Event,Samedi des histoires,Enclos saint laurent,75010
248,236,Pa-75013,Park,SQUARE ULYSSE TRELAT,Gobelins,75013
249,237,Pa-75013,Park,SQUARE GUSTAVE MESUREUR,Gobelins,75013
250,238,Pa-75013,Park,SQUARE DE LA RUE JEAN DUNAND (ZAC BAUDRICOURT),Gobelins,75013
251,239,Pa-75013,Park,SQUARE SAMUEL BECKETT,Gobelins,75013
252,24,Pa-75004,Park,JARDIN MARIE TRINTIGNANT,Hotel de ville,75004
253,240,Pa-75013,Park,JARDIN DE LA DALLE D'IVRY,Gobelins,75013
254,242,Pa-75013,Park,SQUARE HELOISE ET ABELARD,Gobelins,75013
255,243,Pa-75013,Park,JARDIN DE LA MONTGOLFIERE,Gobelins,75013
256,244,Pa-75013,Park,JARDIN MICHELET,Gobelins,75013
257,245,Pa-75013,Park,JARDIN DU MOULIN DE LA POINTE,Gobelins,75013
258,246,Pa-75013,Park,JARDIN JUAN MIRO,Gobelins,75013
259,247,Pa-75013,Park,JARDIN JEAN-CLAUDE NICOLAS FORESTIER,Gobelins,75013
260,248,Pa-75013,Park,JARDIN JAMES JOYCE,Gobelins,75013
261,249,Pa-75013,Park,JARDIN GEORGES DUHAMEL,Gobelins,75013
