"Appi Hotel","158 Rue Saint Denis, Paris","playground","48.8658","2.35084","75002","Appi_75002_253","pl-75002","kfex3075","kfex3075_254"
"Appia La Fayette Hotel","13 Rue des Deux Gares, Paris","playground","48.8784","2.35683","75010","Appi_75010_1049","pl-75010","kfex3075","kfex3075_1050"
"APPL Badminton - Natation","34 Avenue du Général Michel Bizot, Paris","playground","48.8338","2.39984","75012","APPL_75012_1330","pl-75012","kfex3075","kfex3075_1331"
"Apprentis d'Auteuil","40 Rue Jean de la Fontaine, Paris","playground","48.851","2.27174","75016","Appr_75016_1913","pl-75016","kfex3075","kfex3075_1914"
"Arab World Institute","1 Rue des Fossés Saint-Bernard, Paris","museum","48.8489","2.35723","75004","Arab_75004_453","mu-75004","kfex3075","kfex3075_454"
"Arbre Micocoulier","17bis Rue Pavée, Paris","park","48.8567","2.36134","75003","Arbr_75003_297","pa-75003","kfex3075","kfex3075_298"
"Archipel des Berges de Seine Niki de Saint-Phalle","Quai d'Orsay, Paris","park","48.8631","2.30467","75007","Arch_75007_695","pa-75007","kfex3075","kfex3075_696"
"Archivélo, Le long du Canal de l'Ourcq (Début itinéraire)","Villette, Paris","park","48.8837","2.37119","75019","Arch_75019_2216","pa-75019","kfex3075","kfex3075_2217"
"Argonaute Submarine - Sous-marin","30 Avenue Corentin Cariou, Paris","museum","48.8945","2.38959","75019","Argo_75019_2304","mu-75019","kfex3075","kfex3075_2305"
"ARIGNAC / Galerie Marc PHILIPPE","6 Rue de l'Université, Paris","museum","48.8566","2.3313","75001","ARIG_75001_128","mu-75001","kfex3075","kfex3075_129"
"Armand Paris Guide Conférencier","26 Rue Petrelle, Paris","museum","48.881","2.34718","75009","Arma_75009_976","mu-75009","kfex3075","kfex3075_977"
"Arpentere","6 Rue de la Folie Méricourt, Paris","park","48.8614","2.37446","75003","Arpe_75003_257","pa-75003","kfex3075","kfex3075_258"
"Arpège","84 Rue de Varenne, Paris","restaurant","48.8558","2.31707","75006","Arpè_75006_636","re-75006","kfex3075","kfex3075_637"
